iter	RMSE
0	39.02143897
1	35.99987144
2	32.99962698
3	30.24085371
4	27.77940597
5	25.52695318
6	23.48322129
7	21.51885914
8	19.79744674
9	18.17629964
10	16.77051759
11	15.39033204
12	14.15589333
13	13.03603046
14	12.11887443
15	11.1564524
16	10.35121469
17	9.614545481
18	8.914812101
19	8.298725987
20	7.685256808
21	7.148597032
22	6.65340621
23	6.20152122
24	5.819295718
25	5.444182138
26	5.112467399
27	4.784901368
28	4.518245661
29	4.240571336
30	4.002302719
31	3.789024169
32	3.594178764
33	3.42437987
34	3.249869768
35	3.096769053
36	2.960024203
37	2.851578511
38	2.751560769
39	2.647832659
40	2.554934968
41	2.472652286
42	2.404912264
43	2.330465483
44	2.26625911
45	2.209300486
46	2.160451147
47	2.114041987
48	2.074152856
49	2.028496516
50	1.99479307
51	1.957679841
52	1.932067307
53	1.908456633
54	1.897885873
55	1.873242534
56	1.852347081
57	1.835145331
58	1.813429624
59	1.798982342
60	1.786195848
61	1.768950095
62	1.752715567
63	1.747952588
64	1.734672481
65	1.728296827
66	1.723615107
67	1.71549013
68	1.702930134
69	1.692285547
70	1.688075486
71	1.68406901
72	1.680561602
73	1.66753375
74	1.641095547
75	1.637678005
76	1.622968564
77	1.619464777
78	1.616597796
79	1.611813511
80	1.608864096
81	1.60455051
82	1.591811448
83	1.588986247
84	1.584253128
85	1.581700489
86	1.578812761
87	1.574882805
88	1.573204618
89	1.571608478
90	1.569247237
91	1.546906217
92	1.526081894
93	1.524727132
94	1.523222643
95	1.521979456
96	1.520035895
97	1.518124828
98	1.517060015
99	1.514982458
