iter	Passed	Remaining
0	1	112
1	2	103
2	3	98
3	4	97
4	5	95
5	6	96
6	7	97
7	8	94
8	9	99
9	10	98
10	12	97
11	13	96
12	14	97
13	15	97
14	17	96
15	17	93
16	18	91
17	19	88
18	20	88
19	21	87
20	22	85
21	23	84
22	29	97
23	30	95
24	30	92
25	31	90
26	33	89
27	34	87
28	35	86
29	36	85
30	37	83
31	38	81
32	39	80
33	40	79
34	41	77
35	42	75
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	67
42	49	65
43	50	63
44	50	62
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	46
57	62	45
58	63	44
59	63	42
60	64	41
61	65	40
62	66	38
63	66	37
64	67	36
65	67	34
66	68	33
67	69	32
68	70	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	74	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	86	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	89	0
