iter	Passed	Remaining
0	1	1499
1	2	1429
2	4	1358
3	5	1278
4	6	1241
5	7	1201
6	8	1174
7	9	1158
8	10	1154
9	12	1199
10	13	1194
11	14	1206
12	15	1201
13	16	1188
14	17	1179
15	19	1175
16	20	1172
17	21	1165
18	22	1157
19	23	1156
20	24	1149
21	26	1160
22	27	1167
23	28	1162
24	29	1145
25	30	1139
26	31	1124
27	31	1109
28	32	1100
29	34	1111
30	35	1116
31	36	1104
32	37	1097
33	38	1087
34	39	1075
35	39	1064
36	40	1053
37	41	1049
38	42	1044
39	44	1056
40	45	1054
41	45	1049
42	46	1040
43	47	1031
44	48	1025
45	49	1016
46	50	1014
47	51	1016
48	52	1014
49	53	1012
50	53	1004
51	54	1002
52	56	1004
53	56	998
54	57	994
55	58	988
56	59	984
57	60	979
58	61	977
59	62	974
60	63	970
61	64	969
62	64	964
63	65	960
64	66	963
65	67	960
66	68	958
67	69	957
68	70	952
69	71	948
70	72	946
71	73	944
72	75	952
73	76	952
74	77	950
75	77	947
76	78	942
77	79	941
78	80	935
79	80	931
80	81	928
81	82	924
82	83	926
83	84	923
84	85	920
85	86	917
86	87	915
87	87	911
88	88	906
89	89	903
90	90	904
91	91	901
92	92	898
93	92	896
94	93	893
95	94	890
96	95	887
97	96	885
98	97	883
99	97	880
100	98	878
101	99	875
102	100	871
103	100	869
104	101	866
105	102	863
106	103	859
107	103	857
108	104	855
109	106	858
110	107	858
111	108	856
112	108	853
113	109	850
114	110	847
115	110	844
116	112	847
117	113	848
118	114	847
119	115	845
120	116	843
121	116	840
122	117	840
123	118	838
124	119	837
125	120	832
126	121	832
127	121	830
128	122	828
129	123	828
130	124	825
131	125	823
132	125	821
133	126	818
134	127	816
135	128	815
136	129	813
137	129	811
138	130	809
139	131	807
140	132	804
141	132	802
142	133	797
143	133	795
144	134	793
145	135	791
146	135	788
147	136	787
148	137	786
149	138	782
150	138	779
151	139	777
152	139	774
153	140	773
154	141	771
155	142	768
156	142	767
157	143	762
158	143	759
159	144	756
160	144	755
161	145	753
162	146	751
163	146	749
164	147	747
165	148	745
166	148	743
167	149	741
168	150	739
169	151	737
170	151	734
171	152	735
172	153	733
173	154	732
174	154	728
175	155	726
176	155	724
177	156	723
178	156	719
179	157	718
180	158	716
181	159	715
182	159	712
183	160	710
184	160	708
185	161	705
186	161	703
187	162	701
188	162	698
189	163	695
190	163	694
191	164	691
192	165	689
193	165	688
194	165	685
195	167	685
196	167	684
197	168	684
198	169	682
199	170	680
200	170	678
201	170	675
202	171	673
203	172	671
204	172	669
205	173	668
206	174	667
207	174	665
208	175	663
209	176	662
210	176	661
211	177	660
212	178	657
213	178	656
214	179	654
215	180	653
216	180	653
217	181	650
218	181	648
219	182	646
220	182	643
221	183	642
222	183	640
223	184	639
224	185	637
225	185	636
226	186	634
227	186	632
228	187	631
229	187	628
230	188	627
231	188	625
232	189	624
233	190	623
234	191	622
235	191	621
236	192	620
237	193	619
238	194	618
239	194	617
240	195	616
241	196	615
242	197	614
243	197	613
244	198	612
245	200	613
246	200	611
247	201	610
248	201	609
249	202	608
250	203	608
251	204	607
252	204	604
253	205	603
254	206	602
255	207	601
256	207	600
257	208	599
258	209	598
259	209	597
260	210	596
261	211	595
262	211	594
263	213	594
264	214	593
265	214	592
266	215	592
267	216	591
268	217	590
269	218	590
270	219	589
271	219	588
272	220	587
273	221	586
274	222	585
275	222	584
276	223	583
277	224	582
278	225	581
279	225	580
280	226	579
281	227	578
282	227	577
283	228	576
284	229	575
285	230	574
286	231	574
287	232	574
288	233	574
289	234	573
290	234	572
291	235	571
292	236	570
293	237	569
294	237	568
295	238	568
296	240	568
297	240	567
298	241	566
299	242	565
300	243	564
301	243	563
302	244	563
303	245	562
304	246	561
305	247	561
306	248	560
307	249	559
308	250	559
309	250	558
310	251	557
311	252	556
312	253	555
313	253	554
314	254	554
315	255	553
316	256	552
317	257	551
318	257	550
319	258	549
320	259	548
321	259	547
322	260	546
323	261	545
324	262	545
325	263	544
326	264	543
327	264	542
328	265	541
329	266	540
330	267	539
331	267	538
332	268	537
333	269	536
334	269	535
335	270	534
336	271	533
337	271	532
338	272	531
339	273	530
340	274	529
341	274	528
342	275	527
343	276	526
344	276	525
345	277	524
346	278	524
347	279	523
348	280	522
349	280	520
350	281	519
351	281	518
352	282	517
353	283	516
354	283	515
355	284	514
356	285	513
357	285	512
358	286	511
359	287	510
360	288	509
361	288	509
362	289	508
363	290	507
364	291	506
365	292	505
366	292	505
367	294	505
368	295	504
369	295	503
370	296	502
371	297	502
372	298	501
373	298	500
374	299	499
